Date,Symbol,Series,Mkt Cap (₹ Crore),CMP,AVOL(50),₹AVOL(50),ADR(20),ATR(20),RPS,Change_1D,Change_1W,Change_10D,Change_15D,Change_1M,Change_3M,Change_6M,Change_9M,Change_12M,Change_20M,Momo_10D,Momo_1M,Momo_3M,Momo_6M,Momo_9M,Momo_12M,Gap_10D,6EMA_10D,10EMA_20D,21EMA_40D,50SMA_100D,Below_1M,Below_3M,Below_6M,Below_12M,Below_20M,NB_1M,NB_3M,NB_6M,NB_9M,NB_12M,NB_20M,Above_3M,Above_6M,Above_12M,Above_20M,NA_1M,NA_3M,NA_6M,NA_9M,NA_12M,NA_20M,RS_1M,RS_3M,RS_6M,RS_9M,RS_12M,Total_RS (CNX500),RS_score,NC_1M,NC_3M,NC_6M,NC_9M,NC_12M,NC_20M,NRS_1M,NRS_3M,NRS_6M,NRS_9M,NRS_12M,Total_NRS (CNX500),NRS_score
30-10-2025,NSE:BGRENERGY,BE,1669.39,422.44,513134,2167.68327,3.85,6.03,0,4.56,-10.65,13.3,27.94,44.12,76.09,76.45,65.68,91.32,73.1,-1,-1,HV2Q,-1,HVQ,HVQ,-1,-1,4,-1,-1,-9.62,-9.62,-9.62,-9.62,-9.62,-9.62,-10.97,-28.93,-31.4,0,-67.83,336.36,342.21,1112.86,1113.91,77.11,143.83,41.44,185.59,316.67,5.37,39.5,72.59,68.85,55.1,86.9,2.653252,99,,,,,,,39.5,58.4,-2.74,-49,81.6,1.451764,99
30-10-2025,NSE:KCK,SM,260.77,33.1,329500,109.0645,5.26,5.54,5,-1.05,-6.95,-13.75,-17.52,-11.93,-26.74,79.06,61.96,-41.51,83.38,-1,HVY,-1,HVQ,HV2Q,HV2Y,-1,-1,-1,-1,-1,-24.6,-32.86,-32.86,-48.28,-48.28,-24.6,-24.85,-12.51,-89.17,-80.33,-7.96,7.12,7.12,377.63,575.51,0,19.9,505.34,0,170.75,907.31,-16.55,-30.24,71.46,51.38,-45.93,1.36804,96,,,,,,,-16.55,-12.05,79.23,-84.9,-265.15,1.311454,96
30-10-2025,NSE:IZMO,BE,1240.58,780.7,327565,2557.29996,5.57,6.4,5,-1.64,-8.22,-20.85,-33.37,-64.12,50.68,62.95,41.87,51.25,58.69,-1,-1,HV2Y,-1,HVQ,HV2Y,-1,-1,-1,-1,-1,-35.86,-42.11,-42.11,-42.11,-42.11,-35.86,-5,-12.09,-54.37,-28.4,-28.65,117.22,184.88,222.94,222.94,0,256.51,59.28,19.65,82.53,53.07,-68.74,47.18,55.35,31.29,46.83,1.328154,93,,,,,,,-68.74,71.13,20.63,-60.14,23.03,1.245615,93
30-10-2025,NSE:JSLL,EQ,10165.31,746.3,233764,1744.58073,4,3.96,6,0.69,2.78,0.53,-3.45,-7.7,25.61,43.59,45.61,57.66,76.75,-1,-1,EEP,-1,EEP,EEP,-1,-1,-1,-1,-1,-8.1,-10.94,-10.94,-10.94,-10.94,-8.1,-4.08,-1.54,-10.83,-14.03,-4.36,39.21,86.34,143.75,426.94,2.86,74.44,81.34,93.53,186.58,123.13,-12.32,22.11,35.99,35.03,53.24,1.238088,90,,,,,,,-12.32,32.1,19.93,0.35,29.03,1.092331,90
30-10-2025,NSE:SJS,EQ,4662.6,1581.3,183605,2903.34587,3.58,3.57,2,0.80,4.55,3.1,5.31,7.66,21.7,41.22,37.42,35.24,59.58,-1,-1,HVQ,EEP,EEP,EEP,-1,-1,-1,10,-1,0,0,0,0,0,0,-4.66,-4.45,-28.66,-24.05,-7.43,37.28,74.13,93.38,163.05,8.87,26.76,51.42,13.67,65.45,71.24,3.04,18.2,33.62,26.84,30.82,1.162762,87,,,,,,,3.04,16.38,20.68,-9.69,3.39,1.047121,84
30-10-2025,NSE:ADANIPOWER,EQ,276195.4,162.57,64909157,105522.81653,3.91,3.87,4,0.29,-1.65,3.11,8.48,9.79,27.1,34.55,36.66,25.59,31.89,-1,-1,HV2Y,-1,HVQ,HV2Y,-1,-1,-1,0,-1,-4.81,-4.81,-4.81,-4.81,-7.05,-4.81,-13.86,-2.79,-27.91,-41.13,-30.83,43.36,58.76,85.73,85.73,12.39,29.32,26.05,21.57,17.64,17.48,5.17,23.6,26.95,26.08,21.17,1.146428,84,,,,,,,5.17,20.37,5.96,0,-10.59,1.038146,81
30-10-2025,NSE:GODFRYPHLP,EQ,48603.92,3145.5,1266996,39853.35918,3.02,3.01,4,-0.36,-0.6,-5.89,-7.85,-11.65,5.24,13.99,53.94,31.3,71.84,-1,-1,EEP,EEP,EEP,EEP,-1,-1,-1,-1,-1,-9.01,-15.28,-15.28,-15.28,-15.28,-9.01,-5.41,-5.03,-1.45,-47.22,-21.28,7.51,18.24,122.86,257.83,0.73,27.79,105.77,103.43,83.04,173,-16.27,1.74,6.39,43.36,26.88,1.109677,81,,,,,,,-16.27,16.3,4.99,43.22,-42.26,1.062338,87
30-10-2025,NSE:FEDFINA,EQ,5555.45,144.16,1356174,1955.06044,4.09,4.1,0,0.87,1.28,-8.91,-10.9,-5.91,8.28,38.35,33.9,26.29,10.38,-1,-1,EEP,EEP,HV2Y,HV2Y,-1,-1,-1,-1,7,-11.31,-11.31,-11.31,-11.31,-11.31,-11.31,-0.99,0,-29.47,-27.23,-18.85,14.33,71.62,74.72,74.72,1.95,33.78,60.25,7.71,1.42,0,-10.53,4.78,30.75,23.32,21.87,1.095746,79,,,,,,,-10.53,14.58,28.54,-10.45,-4.62,1.034616,73
30-10-2025,NSE:MARUTI,EQ,35000,16206,461760,74832.8256,1.48,1.47,1,0.42,-1.15,-0.04,1.2,1.37,23.06,24.37,26.15,27.41,29.37,-1,-1,HV2Q,-1,-1,HV2Y,-1,-1,-1,5,-1,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33,-1.85,-5.11,-9.18,-11.32,-12.83,31.73,33.65,50.94,50.94,2.53,29.93,10.06,14.16,11.75,9.84,-3.25,19.56,16.77,15.57,22.99,1.092181,76,,,,,,,-3.25,23.17,-2.55,-0.87,8.6,1.035105,76
30-10-2025,NSE:BAJFINANCE,EQ,45000,1052.3,7386505,77728.19212,1.99,2,0,-1.00,-3.98,-0.72,2.77,5.83,15.75,17.95,29.31,33.09,35.73,-1,-1,-1,-1,EEP,EEP,-1,-1,-1,4,-1,-3.82,-3.82,-3.82,-3.82,-3.82,-3.82,-3.77,-8.44,-7.38,-4.25,-9.36,23.36,23.36,62.75,66.73,6.54,16.17,21.52,33.69,17.86,11.56,1.21,12.25,10.35,18.73,28.67,1.089197,73,,,,,,,1.21,11.72,-1.64,10.62,12.24,1.036298,79
30-10-2025,NSE:CNXPSUBANK,IN,,8058.75,,,,,,-0.38,2.28,4.17,6.64,8.29,13.71,18.82,23.65,20.21,11.88,0,0,0,0,0,0,0,-1,-1,-1,-1,-0.38,-0.38,-0.38,-0.38,-0.38,,,,,,,,,,,,,,,,,3.67,10.21,11.22,13.07,15.79,1.063925,,,,,,,,3.67,7.1,1.66,2.72,2.39,1.020263,
30-10-2025,NSE:CNXMETAL,IN,,10729.2,,,,,,-0.45,4.54,4.76,5.52,7.51,12.3,20.01,21.35,13.57,25.85,0,0,0,0,0,0,0,-1,-1,-1,-1,-0.45,-0.45,-0.45,-0.45,-0.45,,,,,,,,,,,,,,,,,2.89,8.8,12.41,10.77,9.15,1.051857,,,,,,,,2.89,6.35,4.55,-1.56,-3,1.013492,
30-10-2025,NSE:SBIN,EQ,65000,934.35,8809128,82308.08747,1.48,1.49,0,-0.57,2.44,5.16,8.14,6.81,14.46,15.59,20.36,14.96,18.65,-1,-1,-1,-1,-1,EEP,-1,2,7,-1,-1,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,0,-3.91,-9.64,-17.83,-12.27,17.68,21.5,35.65,35.65,8.87,9.67,16.03,14.5,10.2,17.67,2.19,10.96,7.99,9.78,10.54,1.048847,70,,,,,,,2.19,9.4,-2.93,2.41,0.12,1.015299,67
30-10-2025,NSE:LT,EQ,45000,3987.5,1729142,68949.53725,1.54,1.58,0,0.74,1.73,3.98,6.46,7.5,12.34,16.21,13.27,13.66,15.82,-1,-1,-1,-1,EEP,EEP,-1,1,-1,2,-1,0,0,0,0,0,0,-1.1,-5.13,-15.36,-12.39,-11.66,13.12,20.05,30.56,30.56,8.98,7.78,14.45,9.39,5.71,5.23,2.88,8.84,8.61,2.69,9.24,1.037143,67,,,,,,,2.88,6.41,0.17,-6.74,7.34,1.011808,59
30-10-2025,NSE:BHARTIARTL,EQ,65000,2066.3,4728031,97695.30455,1.71,1.77,1,-1.63,2.83,4.73,5.94,7.94,7.16,9.77,20.4,18.77,44.64,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1.63,-1.63,-1.63,-1.63,-1.63,-1.63,-6.48,-5.68,-1.3,-7.13,-5.23,11.67,14.23,35.48,86.14,10.64,2.8,22.17,29.32,48.17,51.2,3.32,3.66,2.17,9.82,14.35,1.036882,64,,,,,,,3.32,0.33,-1.45,8.55,4.84,1.015772,70
30-10-2025,NSE:AXISBANK,EQ,45000,1238.6,7137149,88400.72751,1.94,2.11,1,-0.82,-1.63,5.57,4.68,8.59,14.08,4.33,23.42,5.75,12.11,-1,-1,-1,-1,-1,-1,-1,3,6,-1,-1,-1.6,-1.6,-1.6,-1.6,-5.97,-1.6,-3.86,-13.73,-7.21,-28,-11.38,18.5,18.5,30.64,30.64,9.46,8.32,12.25,24.99,0,14,3.97,10.58,-3.27,12.84,1.33,1.034825,61,,,,,,,3.97,7.19,-15.6,16.73,-16.18,1.011925,61
30-10-2025,NSE:CNXAUTO,IN,,26829.55,,,,,,-0.44,-1.45,0.45,1.14,1.46,10.96,16.85,17.36,9.34,24.13,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.59,-1.83,-1.83,-1.83,-2.83,,,,,,,,,,,,,,,,,-3.16,7.46,9.25,6.78,4.92,1.028583,,,,,,,,-3.16,10.82,2.36,-2.61,-2.82,1.008666,
